time,OKtime,date
2024_01_28__00_05_55,2419555,0.291069
2024_01_28__00_05_57,2419557,0.291069
2024_01_28__00_05_59,2419559,0.291069
2024_01_28__00_06_01,2419561,0.291241
2024_01_28__00_06_01,2419561,0.291241
2024_01_28__00_06_01,2419561,0.296399
2024_01_28__00_06_01,2419561,0.291241
2024_01_28__00_06_01,2419561,0.291241
2024_01_28__00_06_02,2419562,0.291069
2024_01_28__00_06_02,2419562,0.291241
2024_01_28__00_06_02,2419562,0.291241
2024_01_28__00_06_02,2419562,0.291241
2024_01_28__00_06_02,2419562,0.291241
2024_01_28__00_06_03,2419563,0.291241
2024_01_28__00_06_03,2419563,0.280754
2024_01_28__00_06_03,2419563,0.291069
2024_01_28__00_06_03,2419563,0.245681
2024_01_28__00_06_03,2419563,0.219376
2024_01_28__00_06_04,2419564,0.191353
2024_01_28__00_06_04,2419564,0.16883
2024_01_28__00_06_04,2419564,0.159374
2024_01_28__00_06_04,2419564,0.146308
2024_01_28__00_06_04,2419564,0.149575
2024_01_28__00_06_05,2419565,0.146308
2024_01_28__00_06_05,2419565,0.14648
2024_01_28__00_06_05,2419565,0.146308
2024_01_28__00_06_05,2419565,0.146308
2024_01_28__00_06_05,2419565,0.14648
2024_01_28__00_06_06,2419566,0.146308
2024_01_28__00_06_06,2419566,0.146308
2024_01_28__00_06_06,2419566,0.146308
2024_01_28__00_06_06,2419566,0.146308
2024_01_28__00_06_06,2419566,0.14648
2024_01_28__00_06_07,2419567,0.146308
2024_01_28__00_06_07,2419567,0.146308
2024_01_28__00_06_07,2419567,0.146308
2024_01_28__00_06_07,2419567,0.149575
2024_01_28__00_06_07,2419567,0.149575
2024_01_28__00_06_08,2419568,0.175879
2024_01_28__00_06_08,2419568,0.169002
2024_01_28__00_06_08,2419568,0.175363
2024_01_28__00_06_08,2419568,0.172097
2024_01_28__00_06_08,2419568,0.181725
2024_01_28__00_06_09,2419569,0.191524
2024_01_28__00_06_09,2419569,0.191353
2024_01_28__00_06_09,2419569,0.188258
2024_01_28__00_06_09,2419569,0.197886
2024_01_28__00_06_09,2419569,0.197886
2024_01_28__00_06_10,2419570,0.201152
2024_01_28__00_06_10,2419570,0.207513
2024_01_28__00_06_10,2419570,0.21078
2024_01_28__00_06_10,2419570,0.228144
2024_01_28__00_06_10,2419570,0.213531
2024_01_28__00_06_11,2419571,0.216454
2024_01_28__00_06_11,2419571,0.222299
2024_01_28__00_06_11,2419571,0.239835
2024_01_28__00_06_11,2419571,0.231067
2024_01_28__00_06_11,2419571,0.239835
2024_01_28__00_06_12,2419572,0.257372
2024_01_28__00_06_12,2419572,0.245681
2024_01_28__00_06_12,2419572,0.245681
2024_01_28__00_06_12,2419572,0.245681
2024_01_28__00_06_12,2419572,0.254449
2024_01_28__00_06_13,2419573,0.274908
2024_01_28__00_06_13,2419573,0.28849
2024_01_28__00_06_13,2419573,0.248947
2024_01_28__00_06_13,2419573,0.277831
2024_01_28__00_06_13,2419573,0.291069
2024_01_28__00_06_14,2419574,0.28849
2024_01_28__00_06_14,2419574,0.302932
2024_01_28__00_06_14,2419574,0.306886
2024_01_28__00_06_14,2419574,0.322531
2024_01_28__00_06_15,2419575,0.33044
2024_01_28__00_06_15,2419575,0.33044
2024_01_28__00_06_15,2419575,0.327861
2024_01_28__00_06_15,2419575,0.343506
2024_01_28__00_06_15,2419575,0.343506
2024_01_28__00_06_16,2419576,0.340927
2024_01_28__00_06_16,2419576,0.346085
2024_01_28__00_06_16,2419576,0.353306
2024_01_28__00_06_16,2419576,0.360355
2024_01_28__00_06_16,2419576,0.383565
2024_01_28__00_06_17,2419577,0.392677
2024_01_28__00_06_17,2419577,0.406775
2024_01_28__00_06_17,2419577,0.408838
2024_01_28__00_06_17,2419577,0.423795
2024_01_28__00_06_17,2419577,0.436002
2024_01_28__00_06_18,2419578,0.4501
2024_01_28__00_06_18,2419578,0.460243
2024_01_28__00_06_18,2419578,0.452163
2024_01_28__00_06_18,2419578,0.452163
2024_01_28__00_06_18,2419578,0.452163
2024_01_28__00_06_19,2419579,0.436174
2024_01_28__00_06_19,2419579,0.452163
2024_01_28__00_06_19,2419579,0.456117
2024_01_28__00_06_19,2419579,0.456117
2024_01_28__00_06_19,2419579,0.452163
2024_01_28__00_06_20,2419580,0.451991
2024_01_28__00_06_20,2419580,0.452163
2024_01_28__00_06_20,2419580,0.452163
2024_01_28__00_06_20,2419580,0.452163
2024_01_28__00_06_21,2419581,0.452163
2024_01_28__00_06_21,2419581,0.452335
