time,OKtime,date
2024_01_28__03_58_21,2433501,0.350899
2024_01_28__03_58_22,2433502,0.364825
2024_01_28__03_58_23,2433503,0.298978
2024_01_28__03_58_24,2433504,0.325282
2024_01_28__03_58_25,2433505,0.32511
2024_01_28__03_58_26,2433506,0.338176
2024_01_28__03_58_27,2433507,0.325282
2024_01_28__03_58_28,2433508,0.32511
2024_01_28__03_58_29,2433509,0.338176
2024_01_28__03_58_30,2433510,0.32511
2024_01_28__03_58_31,2433511,0.32511
2024_01_28__03_58_33,2433513,0.32511
2024_01_28__03_58_33,2433513,0.32511
2024_01_28__03_58_34,2433514,0.325282
2024_01_28__03_58_35,2433515,0.32511
2024_01_28__03_58_36,2433516,0.312216
2024_01_28__03_58_37,2433517,0.325282
2024_01_28__03_58_38,2433518,0.0806328
2024_01_28__03_58_42,2433522,-2.49834e-127
2024_01_28__03_58_42,2433522,999.9
2024_01_28__03_58_42,2433522,999.9
2024_01_28__03_58_42,2433522,999.9
2024_01_28__03_58_42,2433522,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_43,2433523,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_44,2433524,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_45,2433525,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
2024_01_28__03_58_46,2433526,999.9
